spamminess,word_total,spam_count,bigram_proportion,spam_auto
0,16,4,25.0,0
0,12,2,16.666666666666664,0
0,8,1,12.5,0
1,5,0,0.0,0
1,5,1,20.0,0
1,1,1,100.0,1
0,7,2,28.57142857142857,0
1,5,1,20.0,0
1,12,0,0.0,0
1,3,1,33.33333333333333,0
1,5,0,0.0,0
0,5,1,20.0,0
0,9,0,0.0,0
1,5,0,0.0,0
0,16,1,6.25,0
1,5,2,40.0,0
1,6,0,0.0,0
1,9,1,11.11111111111111,0
0,11,0,0.0,0
1,7,0,0.0,0
0,7,0,0.0,0
1,6,2,33.33333333333333,0
0,2,0,0.0,0
1,7,1,14.285714285714285,0
1,8,1,12.5,0
0,14,4,28.57142857142857,0
1,2,0,0.0,0
0,10,1,10.0,0
1,5,1,20.0,0
1,7,1,14.285714285714285,0
0,12,2,16.666666666666664,0
0,7,2,28.57142857142857,0
0,6,2,33.33333333333333,0
0,12,1,8.333333333333332,0
0,8,3,37.5,0
1,2,0,0.0,0
0,8,0,0.0,0
1,2,0,0.0,0
0,10,0,0.0,0
0,8,0,0.0,0
1,3,0,0.0,0
0,8,0,0.0,0
1,1,0,0.0,0
0,4,0,0.0,0
1,1,0,0.0,0
0,22,2,9.090909090909092,0
0,24,3,12.5,0
1,6,1,16.666666666666664,0
1,5,0,0.0,0
1,9,0,0.0,0
1,6,0,0.0,0
0,3,0,0.0,0
1,3,0,0.0,0
0,2,2,100.0,1
1,7,0,0.0,0
0,3,1,33.33333333333333,0
0,9,0,0.0,0
1,5,2,40.0,0
0,3,1,33.33333333333333,0
1,1,0,0.0,0
0,4,0,0.0,0
0,5,0,0.0,0
0,5,0,0.0,0
0,7,0,0.0,0
1,1,0,0.0,0
1,6,0,0.0,0
0,4,1,25.0,0
1,3,0,0.0,0
0,4,0,0.0,0
1,1,0,0.0,0
0,4,0,0.0,0
1,8,0,0.0,0
1,4,2,50.0,1
0,5,0,0.0,0
1,5,0,0.0,0
1,1,0,0.0,0
0,8,0,0.0,0
0,4,2,50.0,1
0,1,1,100.0,1
0,6,1,16.666666666666664,0
0,2,1,50.0,1
0,2,1,50.0,1
0,1,1,100.0,1
0,2,1,50.0,1
1,3,1,33.33333333333333,0
0,8,0,0.0,0
0,5,0,0.0,0
0,10,1,10.0,0
0,19,2,10.526315789473683,0
0,3,1,33.33333333333333,0
1,11,2,18.181818181818183,0
1,7,0,0.0,0
0,4,0,0.0,0
0,7,2,28.57142857142857,0
0,9,2,22.22222222222222,0
0,8,0,0.0,0
1,1,1,100.0,1
0,6,0,0.0,0
1,4,0,0.0,0
1,1,0,0.0,0
1,1,0,0.0,0
1,1,0,0.0,0
0,10,2,20.0,0
1,1,0,0.0,0
1,5,1,20.0,0
1,3,0,0.0,0
0,15,2,13.333333333333334,0
0,35,2,5.714285714285714,0
0,7,1,14.285714285714285,0
0,12,0,0.0,0
0,3,0,0.0,0
0,3,0,0.0,0
1,2,0,0.0,0
1,3,0,0.0,0
1,2,0,0.0,0
1,1,0,0.0,0
1,3,0,0.0,0
0,6,0,0.0,0
0,4,0,0.0,0
1,2,0,0.0,0
0,5,0,0.0,0
1,3,0,0.0,0
1,4,0,0.0,0
1,3,1,33.33333333333333,0
1,4,1,25.0,0
1,2,0,0.0,0
0,8,0,0.0,0
1,2,0,0.0,0
1,5,0,0.0,0
0,7,1,14.285714285714285,0
0,3,1,33.33333333333333,0
0,2,0,0.0,0
0,3,0,0.0,0
1,1,0,0.0,0
1,1,0,0.0,0
1,10,1,10.0,0
1,3,1,33.33333333333333,0
1,2,0,0.0,0
0,3,0,0.0,0
1,7,0,0.0,0
1,8,1,12.5,0
1,5,1,20.0,0
1,5,0,0.0,0
1,1,1,100.0,1
1,8,0,0.0,0
1,6,0,0.0,0
1,10,1,10.0,0
1,6,0,0.0,0
0,5,1,20.0,0
1,3,0,0.0,0
0,8,2,25.0,0
0,5,0,0.0,0
0,5,1,20.0,0
1,2,1,50.0,1
1,3,1,33.33333333333333,0
1,4,0,0.0,0
0,8,1,12.5,0
1,4,1,25.0,0
1,4,0,0.0,0
0,13,0,0.0,0
0,9,0,0.0,0
0,16,1,6.25,0
0,6,1,16.666666666666664,0
0,5,0,0.0,0
1,4,0,0.0,0
0,7,1,14.285714285714285,0
0,21,3,14.285714285714285,0
1,5,0,0.0,0
1,15,0,0.0,0
0,4,0,0.0,0
1,3,0,0.0,0
1,1,0,0.0,0
1,4,0,0.0,0
1,6,0,0.0,0
1,8,1,12.5,0
0,7,0,0.0,0
0,6,0,0.0,0
1,3,1,33.33333333333333,0
1,3,0,0.0,0
0,7,0,0.0,0
0,5,0,0.0,0
1,3,0,0.0,0
1,3,0,0.0,0
1,2,1,50.0,1
0,1,0,0.0,0
1,5,0,0.0,0
0,6,0,0.0,0
1,3,1,33.33333333333333,0
0,5,0,0.0,0
1,2,1,50.0,1
1,4,1,25.0,0
1,4,1,25.0,0
0,12,0,0.0,0
1,8,0,0.0,0
0,1,0,0.0,0
0,22,2,9.090909090909092,0
1,5,0,0.0,0
1,1,0,0.0,0
1,1,1,100.0,1
0,9,1,11.11111111111111,0
0,7,0,0.0,0
0,17,2,11.76470588235294,0
1,1,1,100.0,1
1,3,0,0.0,0
1,1,1,100.0,1
0,5,0,0.0,0
1,2,0,0.0,0
1,4,0,0.0,0
1,3,0,0.0,0
0,8,1,12.5,0
1,5,1,20.0,0
0,9,2,22.22222222222222,0
0,20,3,15.0,0
0,9,0,0.0,0
1,4,0,0.0,0
1,2,0,0.0,0
0,11,1,9.090909090909092,0
0,8,1,12.5,0
0,11,2,18.181818181818183,0
1,4,1,25.0,0
1,5,0,0.0,0
0,13,1,7.6923076923076925,0
1,3,1,33.33333333333333,0
1,3,1,33.33333333333333,0
1,5,1,20.0,0
1,3,1,33.33333333333333,0
1,8,1,12.5,0
1,12,0,0.0,0
0,8,1,12.5,0
0,11,0,0.0,0
1,1,1,100.0,1
0,5,0,0.0,0
0,8,0,0.0,0
1,1,1,100.0,1
1,6,0,0.0,0
1,1,0,0.0,0
1,8,0,0.0,0
1,6,0,0.0,0
0,17,2,11.76470588235294,0
0,16,4,25.0,0
1,1,1,100.0,1
1,1,0,0.0,0
0,12,1,8.333333333333332,0
0,12,2,16.666666666666664,0
0,1,1,100.0,1
1,1,0,0.0,0
0,2,0,0.0,0
0,5,0,0.0,0
1,1,0,0.0,0
1,1,1,100.0,1
0,2,0,0.0,0
1,4,0,0.0,0
1,4,0,0.0,0
1,6,0,0.0,0
0,3,0,0.0,0
1,4,2,50.0,1
1,2,1,50.0,1
0,8,2,25.0,0
1,13,1,7.6923076923076925,0
1,8,1,12.5,0
0,6,0,0.0,0
0,3,0,0.0,0
1,1,1,100.0,1
0,2,0,0.0,0
0,6,1,16.666666666666664,0
0,5,2,40.0,0
0,12,2,16.666666666666664,0
0,9,0,0.0,0
1,4,2,50.0,1
0,17,3,17.647058823529413,0
1,2,0,0.0,0
1,5,1,20.0,0
0,3,0,0.0,0
1,2,1,50.0,1
1,1,0,0.0,0
0,7,2,28.57142857142857,0
1,3,0,0.0,0
0,6,0,0.0,0
1,2,1,50.0,1
0,4,1,25.0,0
1,2,1,50.0,1
1,1,0,0.0,0
0,2,0,0.0,0
1,2,1,50.0,1
0,8,3,37.5,0
1,1,1,100.0,1
0,5,0,0.0,0
