message,spamminess,term,word_total,spam_count,spam_auto,bigram_proportion,spam_bigrams
 anggota anggota ahahahahahahahahahahahah masuk lewan link,0,anggota anggota,6,1,0,16.666666666666664,"ha, ah"
 napa emang ,0,,2,0,0,0.0,
 emang masalah ya ,0,ya,3,0,0,0.0,
 tradisi doang ngatain kek gini,0,,5,0,0,0.0,
 aamiin mate,1,,2,0,0,0.0,
 wkwkwk,1,,1,1,1,100.0,"wk, kw"
 izin ambil ngab,1,,3,0,0,0.0,
 kemarin disini ada yang pengen latian dance kpop kah ,0,ada yang,9,1,0,11.11111111111111,en
 awokawokawok ini yang di bcc t a ,0,ini yang di,7,1,0,14.285714285714285,"aw, ok, ka, wo"
 anifest bandung kemarin,0,,3,0,0,0.0,
 waktu itu mah aku ke sumedang ,0,itu ke sumedang,6,0,0,0.0,
 minta stiker youmu siapa sangka dong,1,,6,0,0,0.0,
 nice,1,,1,0,0,0.0,
 https www youtube com shorts pmrahb v m,1,https,8,1,0,12.5,ww
 gwej bgt g sie,0,,4,0,0,0.0,
 makin lama makin mirip bapaknya anjg,0,makin makin,6,0,0,0.0,
 kok nomer lu luar,0,luar,4,0,0,0.0,
 yae miko,1,,2,0,0,0.0,
 panas banget njir,0,,3,0,0,0.0,
 barusan dari luar gw,0,dari luar gw,4,0,0,0.0,
 iyaa,0,,1,0,0,0.0,
 njir ada bule,0,ada,3,0,0,0.0,
 halo bule,0,,2,0,0,0.0,
 bule pakle nya mana,0,nya,4,0,0,0.0,
 papale,0,,1,1,1,100.0,pa
 yo,0,,1,0,0,0.0,
 disini ada yg bisa bantu gw isi suara buat tugas video gw gk,0,ada yg bisa gw gw,13,0,0,0.0,
 dibayar g,0,,2,0,0,0.0,
 https vt tiktok com zs otnsfu ,1,https,6,0,0,0.0,
 numpang ngemis banh,1,,3,0,0,0.0,
 udh apus tiktok mff,0,udh,4,0,0,0.0,
 lessgooooooo,1,,1,1,1,100.0,oo
 moga keluar terbitan indonya,0,,4,0,0,0.0,
 tentu saja,0,,2,0,0,0.0,
 tidak,0,tidak,1,0,0,0.0,
 emg suruh ngapain ,0,,3,0,0,0.0,
 itu,0,itu,1,0,0,0.0,
 itu,1,itu,1,0,0,0.0,
 pak ai voice klo bol heun,0,,6,0,0,0.0,
 cbr,1,,1,0,0,0.0,
 mabar lah bang,0,bang,3,0,0,0.0,
 bisa bisanya beliau menang terus,0,bisa,5,0,0,0.0,
 gw menang gung kekalah mulu njir,0,gw,6,0,0,0.0,
 akhir bulan,0,,2,0,0,0.0,
 keren bgt,0,,2,0,0,0.0,
 malem shift gw banh aiok aj,0,gw,6,0,0,0.0,
 akua ajg kek bapanya,0,,4,0,0,0.0,
 anggota gimana ,0,anggota,2,0,0,0.0,
 aseli,0,,1,0,0,0.0,
 bekaci,0,,1,0,0,0.0,
 kota yg ngasi efek pusing panas sesek nafas,0,yg,8,1,0,12.5,se
 kutukan jam siank di bekaci bileg ,0,jam di,6,0,0,0.0,
 sorry nomer luar dilarang disini ,0,luar,5,0,0,0.0,
 waduh,0,,1,0,0,0.0,
 baru kelar,0,baru,2,0,0,0.0,
 goddamn,1,,1,0,0,0.0,
 my honest reaction to utbk ,0,,5,0,0,0.0,
 ada soal yang gua inget sama persis di sainsin to ke berapa gitu,0,ada yang di ke berapa,13,1,0,7.6923076923076925,in
 emang kenapa bang,0,bang,3,0,0,0.0,
 udeh ikutin aja peraturannya,0,aja,4,1,0,25.0,ra
 nanya aja bro penasaran,0,aja bro,4,0,0,0.0,
 jd inget film atau apa gitu,0,apa,6,0,0,0.0,
 yang jelas mah b da negara,0,yang,6,0,0,0.0,
 tetap waspada ,0,,2,0,0,0.0,
 musuh terlihat ,1,,2,0,0,0.0,
 kyut,1,,1,0,0,0.0,
 buset,1,buset,1,0,0,0.0,
 jam brp mulainya,0,jam,3,0,0,0.0,
 jam ,0,jam,1,0,0,0.0,
 yes soalnya ada pengarahan sambutan doa dll,0,ada,7,0,0,0.0,
 kyahhhh,1,,1,1,1,100.0,hh
 arisuchan,1,,1,0,0,0.0,
 disuruh jualan sama ortu daripada nganngur enaknya jualan apa ya,0,apa ya,10,2,0,20.0,"ng, da"
 figur anime,0,,2,0,0,0.0,
 jir,1,,1,0,0,0.0,
 dulu gw sbm datang kerjakan lupakan,0,gw,6,0,0,0.0,
 kek ujian biasa,0,,3,0,0,0.0,
 ribet sekarang mungkin biar keliatan lebih bagus,0,sekarang lebih,7,0,0,0.0,
 anggota my g lu ada soal yang gak bisa dikerjain gak dan lu jawabnya gimana,0,anggota ada yang bisa dan,15,0,0,0.0,
 jual makanan pokok,0,,3,2,1,66.66666666666666,"an, ok"
 makanan buat makan bkn ngemil,0,,5,1,0,20.0,an
 awikwok banget,0,,2,0,0,0.0,
 lmao,0,,1,0,0,0.0,
 ssshtt,1,,1,1,1,100.0,ss
 damn,1,damn,1,0,0,0.0,
 biarkan mereka berpikir,0,,3,0,0,0.0,
 big brain joke,1,,3,0,0,0.0,
 nt,1,,1,0,0,0.0,
 get d,1,,2,0,0,0.0,
 untung gua main fgo jp jadi bisa baca,0,bisa,8,1,0,12.5,un
 indo kalah sama myanmar anjay,0,,5,0,0,0.0,
 bidang apa ,0,apa,2,0,0,0.0,
 ml,0,,1,0,0,0.0,
 owh,0,,1,0,0,0.0,
 masih fase grup kan apa udah nggak ,0,grup apa,7,0,0,0.0,
 udah itu aja,0,itu aja,3,0,0,0.0,
 jual pakaain dalam aja,0,aja,4,0,0,0.0,
 game apa tu ngab,0,apa,4,0,0,0.0,
 seperti crot moncrot,0,,3,0,0,0.0,
 menara fantasi,0,,2,0,0,0.0,
 zamn,1,,1,0,0,0.0,
 nikmati waifunya aja,0,aja,3,0,0,0.0,
 gamenya ga dulu,0,ga,3,0,0,0.0,
 dulu gue pake si itu healnya gak abis abis kecuali lu kalah level ,0,itu,13,0,0,0.0,
 waduh,0,,1,0,0,0.0,
 gue lupa namanya siapa wkwk,0,namanya,5,1,0,20.0,wk
 nemesis ,0,,1,0,0,0.0,
 nah bener,0,,2,0,0,0.0,
 bingung antara milih neme sama frigg soalnya udah punya healer coco,0,,11,2,0,18.181818181818183,"co, ng"
 sesuai kebutuhan aja,0,aja,3,0,0,0.0,
 buanyak,1,,1,0,0,0.0,
 nembak dong,0,,2,0,0,0.0,
 fuck bro,0,bro,2,0,0,0.0,
 daritadi duduk doang keringatan,0,,4,1,0,25.0,du
 bidang teknik elektro,0,,3,0,0,0.0,
 bisa jadi thor ,0,bisa,3,0,0,0.0,
 kratos,0,,1,0,0,0.0,
 atau killua ,0,,2,0,0,0.0,
 gon,0,,1,0,0,0.0,
 pemakan rumput,0,,2,0,0,0.0,
 saya suka cewek pemakan rumput ,0,,5,0,0,0.0,
 ight,0,,1,0,0,0.0,
 hi mom,0,,2,0,0,0.0,
 emb ,0,,1,0,0,0.0,
 mbeek,0,,1,0,0,0.0,
 hi dad,1,,2,0,0,0.0,
 hi son,1,,2,0,0,0.0,
 biar lain dari yang lain,0,dari yang,5,0,0,0.0,
 gimana jul,0,,2,0,0,0.0,
 berapa lama td,0,berapa,3,0,0,0.0,
 ini kakel gw jg pada bbrp utbk,0,ini gw pada bbrp,7,0,0,0.0,
 ancerit,1,,1,0,0,0.0,
 ini yang ceritanya anak tukang roti kan,0,ini yang anak,7,0,0,0.0,
 betul,0,,1,0,0,0.0,
 info full buku conan kwkw,0,,5,1,0,20.0,kw
 i put the new forgi s on the g,0,the the,9,0,0,0.0,
 gw conan baru sampe an,0,gw baru,5,0,0,0.0,
 conan special end,0,,3,0,0,0.0,
 bosen cuy,0,,2,0,0,0.0,
 baca gs ae mar,0,,4,0,0,0.0,
 ntaran,0,,1,0,0,0.0,
 jam,0,jam,1,0,0,0.0,
 fuck it we ball,1,,4,0,0,0.0,
 bgus byk yang kenak rape v,0,yang,6,0,0,0.0,
 gw lagi nyari serial perang saga,0,gw lagi,6,0,0,0.0,
 like grancrest dan arlan senki,0,dan,5,0,0,0.0,
 ada sih manga rain,0,ada sih,4,0,0,0.0,
 kingdom ,0,,1,0,0,0.0,
 tapi authornya dah meninggal,0,,4,0,0,0.0,
 baca juga lagi drop gw,0,juga lagi gw,5,0,0,0.0,
 itu ngerjainnya ,0,itu,2,0,0,0.0,
 bjir,0,,1,0,0,0.0,
 otak apakabs,0,,2,0,0,0.0,
 perang perang klan negara gitu seru bat walau agak monoton,0,,10,1,0,10.0,on
 cuma mainin gimmick doang,0,,4,1,0,25.0,in
 suikoden lah fire emblem lah,0,,5,1,0,20.0,em
 total semua termasuk sambutan dll,0,total semua,5,0,0,0.0,
 mf went on sleep mode,0,,5,0,0,0.0,
 angolmois ,1,,1,0,0,0.0,
 iya yang ada politik gitu seru,0,yang ada,6,0,0,0.0,
 gw lagi baca nih,0,gw lagi,4,0,0,0.0,
 kemaren baru nemu,0,baru,3,0,0,0.0,
 sumpah tiap chapternya ga ketebak banget,0,ga,6,0,0,0.0,
 plot twistnya juga,0,juga,3,0,0,0.0,
 ini bagus co,0,ini,3,0,0,0.0,
 drama tai ajg,1,,3,0,0,0.0,
 dimas ajiseto,1,,2,0,0,0.0,
 tf ngefans lu ,0,,3,0,0,0.0,
 jir ilang gambar gw,0,gw,4,0,0,0.0,
 utsuho nya mungkin,0,nya,3,0,0,0.0,
 bro s name literally bangkit,1,bro,5,0,0,0.0,
 bukan mahasiswa saya ,0,,3,0,0,0.0,
 gw yang dimas juga bilek,0,gw yang juga,5,0,0,0.0,
 nino coser yg cosplayer di fb tu kn ,0,yg di,8,0,0,0.0,
 yang gambar artist dijon bokep jepang,0,yang,6,0,0,0.0,
 sangat nyata,0,,2,0,0,0.0,
 makanya mahal ,0,,2,0,0,0.0,
 siapa ,0,,1,0,0,0.0,
 sering gambar komeiji sister,0,,4,0,0,0.0,
 hadeh,1,hadeh,1,0,0,0.0,
 gw cmn paling familiar kunh diis sama mich,0,gw,8,0,0,0.0,
 masuk top gw tuh,0,gw,4,0,0,0.0,
 ytta,1,,1,0,0,0.0,
 yes,0,,1,0,0,0.0,
 finnaly,0,,1,0,0,0.0,
 wha ,0,,1,0,0,0.0,
 wayaw wayaw,1,,2,0,0,0.0,
 bro doakan aku utbk hari ini,0,bro ini,6,0,0,0.0,
 semangat bro makan dulu,0,bro,4,0,0,0.0,
 i cant believe im in depok rn,0,,7,0,0,0.0,
 good luck mas ammar,0,,4,0,0,0.0,
 how it feels inhaling the same air as my cum ,1,the,10,1,0,10.0,in
 smells good,1,,2,0,0,0.0,
 semangat mar,1,,2,0,0,0.0,
 lesgo mar,1,,2,0,0,0.0,
 aku ngelek,1,,2,0,0,0.0,
 yg pke telkomsel disini jaringan nya e ga ,0,yg nya ga,8,1,0,12.5,el
 ngga,0,,1,0,0,0.0,
 null,1,null,1,0,0,0.0,
 maybe yg jual tuh g paham perbedaan macam kanvas ,0,yg,9,0,0,0.0,
 indihomo ngelag,1,,2,0,0,0.0,
 tinggal pencahayaan ny sama shadow nanti jadi beda walaupun gambarny simpel kek gt,0,nanti,13,0,0,0.0,
 gabisa saturated bang percuma,0,bang,4,1,0,25.0,at
 kayak suram gitu warnanya,0,,4,0,0,0.0,
 merah jadi pink,0,,3,0,0,0.0,
 salah dari yang jual kanvasnya ,0,dari yang,5,0,0,0.0,
 dicampur hitam ,0,,2,0,0,0.0,
 dicampur putih,0,,2,0,0,0.0,
 malah engga bisa,0,bisa,3,0,0,0.0,
 kayak pigmen warnanya keserap sama lapisan kapur di kanvasnya,0,di,9,0,0,0.0,
 uwwwooooooogggg,1,,1,1,1,100.0,"gg, ww, oo"
 seeleseeeee,0,,1,1,1,100.0,"se, ee"
 pm kek kontol,1,,3,0,0,0.0,
 alhamdulillah,0,,1,0,0,0.0,
 gmn mar ,0,,2,0,0,0.0,
 ya,0,ya,1,0,0,0.0,
 gw pede kecuali mtk,0,gw,4,0,0,0.0,
 pk masih doable,0,,3,0,0,0.0,
 hmm,1,,1,0,0,0.0,
 pengumumannya kapan ,0,,2,1,1,50.0,um
 mudah mudahan lolos yah ,0,,4,1,0,25.0,lo
 amin,0,,1,0,0,0.0,
 juni,0,,1,0,0,0.0,
 lu persiapan pm dari kapan mar,0,dari,6,0,0,0.0,
 februari,0,,1,0,0,0.0,
 pm apaan si ,0,,3,0,0,0.0,
 penambah masalah,0,,2,0,0,0.0,
 ruby napa ni,0,,3,0,0,0.0,
 belum rilis kan chp barunya di indo ,0,di,7,0,0,0.0,
 ruby udah miring jalannya malah ke entertainment gelap ,0,ke,8,1,0,12.5,"en, nt"
 yg bener aja,0,yg aja,3,0,0,0.0,
 nah bro aqua has gone too far we can t help him ,0,bro,12,0,0,0.0,
 emg paling bener,0,,3,0,0,0.0,
 jodoh dia terapi,0,,3,0,0,0.0,
 jadi aktris jav ,0,,3,0,0,0.0,
 ngelonte,0,,1,0,0,0.0,
 bro has gone way,1,bro,4,0,0,0.0,
 karena orang tau dia anak haram ai gk dapat kerjaan lagi dia,0,orang anak lagi,12,0,0,0.0,
 frfr,1,,1,1,1,100.0,fr
 ooomaga,1,,1,1,1,100.0,oo
 njir yg ngerivil aqua ya,0,yg ya,5,0,0,0.0,
 ki,0,,1,0,0,0.0,
 lu sekarang kelas berapa,0,sekarang berapa,4,0,0,0.0,
 jir hot bgt cuy,0,,4,0,0,0.0,
 aaaaaahhhh,1,,1,1,1,100.0,"aa, hh"
 kan ngulang soalnya sakit,0,sakit,4,1,0,25.0,ng
 fr,1,,1,0,0,0.0,
 ahhh iyaa,1,,2,1,1,50.0,hh
 inget gw,0,gw,2,0,0,0.0,
 damn,1,damn,1,0,0,0.0,
 alright my g,0,,3,0,0,0.0,
 lah,1,,1,0,0,0.0,
 damn,1,damn,1,0,0,0.0,
 yes,1,,1,0,0,0.0,
 sakit pas semester ,0,sakit,3,0,0,0.0,
 mending gitu sih,0,sih,3,0,0,0.0,
 masi inget yg dirawat lama bukan,0,yg,6,0,0,0.0,
 bnar cuy,0,,2,0,0,0.0,
 yea i see i see,1,,5,0,0,0.0,
 oky sebenarnya kelas disuruh orang tua oky nggak naik kelas ngulang lagi ,0,orang lagi,12,1,0,8.333333333333332,ng
 what ,1,,1,0,0,0.0,
 kan lu bagus ki,0,,4,0,0,0.0,
 nilainya,0,,1,0,0,0.0,
 tapi oky gamau sekarang malah nyesel ,0,sekarang,6,0,0,0.0,
 bagus darimananya kelas ancur gitu,0,,5,1,0,20.0,an
 kenapa nyesel,0,,2,0,0,0.0,
 smgt beb,0,,2,0,0,0.0,
 why tho,1,,2,0,0,0.0,
 lah,1,,1,0,0,0.0,
 what,1,,1,0,0,0.0,
 cuma pelajaran yang bagus,0,yang,4,0,0,0.0,
 sisanya c ,0,,2,0,0,0.0,
 my bad og,1,,3,0,0,0.0,
 kelas gimana ki,0,,3,0,0,0.0,
 otak apakabs,1,,2,0,0,0.0,
 kelas semester baru masuk,0,baru,4,0,0,0.0,
 nilainya naik semua sih drastis tapi tetep aja secara pemahaman oky nggak menguasai,0,semua sih aja,13,2,0,15.384615384615385,"te, ma"
 karena dasarnya di kelas ,0,di,4,0,0,0.0,
 ohhhhh,1,,1,1,1,100.0,hh
 koben aja,0,aja,2,0,0,0.0,
 koben ,0,,1,0,0,0.0,
 kelas ini ngos an entah kelas gimana smh smh bisa dapet rank rapot juga a semua aneh kalau dipikir ,0,ini bisa juga semua,19,0,0,0.0,
 belajarkebutsemalam,1,,1,1,1,100.0,la
 iya,1,,1,0,0,0.0,
 nonton yt,0,,2,1,1,50.0,on
 dulu gw nontonnya le gurules,0,gw,5,1,0,20.0,on
 sekarang big course,0,sekarang,3,0,0,0.0,
 damn okelah thanks bruv,1,damn thanks,4,0,0,0.0,
 coba ditonton ki siapa tau cocok membantu banget,0,,8,2,0,25.0,"to, co, on"
 se nyesel itu kagak aktif pas kelas ,0,itu,7,0,0,0.0,
 dlu gweh aktif gegara kakek mantan guru di smp ,0,di,9,1,0,11.11111111111111,an
 hadeh,1,hadeh,1,0,0,0.0,
 gweh kelas punya prestasi sih nonton episode anime satu semester ,0,sih,10,1,0,10.0,on
 anjir,1,,1,0,0,0.0,
 https youtu be gi yamzj c,1,https youtu be,6,0,0,0.0,
 welkom,0,,1,0,0,0.0,
 anggota welkom,1,anggota,2,0,0,0.0,
 ini grup anime ave ya,0,ini grup ya,5,0,0,0.0,
 benar,0,,1,0,0,0.0,
 anggota welcome,1,anggota,2,0,0,0.0,
 grup bokep bang,1,grup bang,3,0,0,0.0,
 https youtu be xiganzcbrko the first minutes is very me,1,https youtu be the,10,0,0,0.0,
 anggota hecatia knp pake kaos ,0,anggota,5,0,0,0.0,
 neraka panas,0,,2,0,0,0.0,
 eh ga deng,0,ga,3,0,0,0.0,
 kan matahari di sana ngimlang,0,di,5,1,0,20.0,ng
 orangnya emang nyentrik aja,0,aja,4,0,0,0.0,
 abis gw liat ternyata dia pake kaus,0,gw,7,0,0,0.0,
 mana hot lg jir,0,,4,0,0,0.0,
 kasul style,0,,2,0,0,0.0,
 bitcoin lagi turun tuh,0,lagi,4,0,0,0.0,
 ya allah semoga turunin lagi sampe jt atau jt,0,ya semoga lagi,9,0,0,0.0,
 back to january of this year frfr,1,,7,1,0,14.285714285714285,fr
 aowkwaok,1,,1,1,1,100.0,ao
 kasihan yg nimbun,0,yg,3,0,0,0.0,
 anggota ,0,anggota,1,0,0,0.0,
 off ,0,,1,0,0,0.0,
 stress gw lama lama anjg,0,gw,5,0,0,0.0,
